Date,source,Author,Twitter.Retweet,Twitter.Followers,Twitter.Following,Hashtags,in_reply_to_screen_name,in_reply_to_user_id,reply_count,favorite_count,user_location,user_verified,user_listed_count,user_favourites_count,user_geo_enabled,Snippet
4/7/2019 10:09,IFTTT,AccurateDrivers,0,91,103,[],,,NULL,0,"Durham Region, ON",FALSE,7,20,FALSE,"Teen killed, driver arrested after packed SUV crashes in North Port - FOX 13 News, Tampa Bay"
4/7/2019 10:03,Twitter for Android,FailedSlurpe,31,110,203,[],,,NULL,0,United states,FALSE,2,4424,TRUE,"RT @TBLightning: We’ll open our First Round series against Columbus at home at @amaliearena on Wednesday, April 10! See ya there. ⚡️ #Stan…"
4/7/2019 10:00,Twitter for iPhone,oolivia143,14,508,316,[],,,NULL,0,,FALSE,1,31124,TRUE,RT @ERAUBaseball: RECAP | @ERAUBaseball Sweeps Top-Ranked Tampa on the Road with Pair of Saturday Victories
4/7/2019 10:00,Twitter for iPhone,bryanbussey_9,31,542,426,[],,,NULL,0,,FALSE,0,6412,TRUE,"RT @TBLightning: We’ll open our First Round series against Columbus at home at @amaliearena on Wednesday, April 10! See ya there. ⚡️ #Stan…"
4/7/2019 9:51,Twitter for iPhone,TimesDan,30,2111,1736,[],,,NULL,0,"Tampa, Fla., USA",TRUE,111,1281,TRUE,RT @markkatches: The @TBLightning just matched the all-time @NHL record for wins. And the fun is just starting. The @TB_Times will publish…
4/7/2019 9:50,Twitter for iPhone,ifrank,9,573,2508,[],,,NULL,0,,FALSE,120,37228,FALSE,"RT @BN9: ""It’s a rule that doesn’t solve anything but kills an entire industry."" Read what iconic Tampa Bay industry Sen. Marco Rubio is r…"
4/7/2019 9:44,Twitter for iPhone,TBL_Hockey,5,1307,1307,[],,,NULL,0,,FALSE,60,1975,TRUE,"RT @BBurnsNHL: Tampa Bay finished 3-0-0 this regular season against its 2019 Stanley Cup Playoffs opening round opponent, outscoring Columb…"
4/7/2019 9:43,Twitter for iPhone,TBL_Hockey,4,1307,1307,[],,,NULL,0,,FALSE,60,1975,TRUE,"RT @BBurnsNHL: Tampa Bay swept First Round playoff opponent Columbus during the regular season, outscoring the Blue Jackets 17-3. The #Bolt…"
4/7/2019 9:40,Twitter for iPhone,RamcoMulch,31,86,573,[],,,NULL,0,,FALSE,4,3131,FALSE,"RT @TBLightning: We’ll open our First Round series against Columbus at home at @amaliearena on Wednesday, April 10! See ya there. ⚡️ #Stan…"
4/7/2019 9:40,Twitter for iPhone,TBL_Hockey,31,1307,1307,[],,,NULL,0,,FALSE,60,1975,TRUE,"RT @TBLightning: We’ll open our First Round series against Columbus at home at @amaliearena on Wednesday, April 10! See ya there. ⚡️ #Stan…"
