,id,Date,source,Author,Twitter.Retweet,Twitter.Followers,Twitter.Following,Hashtags,in_reply_to_screen_name,in_reply_to_user_id,reply_count,favorite_count,user_location,user_verified,user_listed_count,user_favourites_count,user_geo_enabled,Snippet
2302,1115318914118975488,2019/04/08 13:22:05,Twitter for iPhone,SASfurrowedBrow,1,172,496,[],jeneps,45399148.0,NULL,5,"Land O' Lakes, FL",False,1,10860,True,"@jeneps Her own HS, Berkeley Prep put out a message that they basically disown her:"
2303,1115318701274947586,2019/04/08 13:21:14,Twitter Web App,CareCentrix,1,6089,284,[],,,NULL,1,"Hartford, CT",False,51,982,False,We're excited to share that CareCentrix was named a 2019 top workplace by @TB_Times!
2304,1115318013916516354,2019/04/08 13:18:30,Twitter for iPhone,CoachFoe,0,2894,1752,[],CindyCDAmbrosio,4173265821.0,NULL,0,"Illinois, USA",False,47,9871,True,@CindyCDAmbrosio @AdaptedPE22 @SHAPE_America @dailyherald Great news Tara. See you in Tampa soon.
2305,1115317531173167104,2019/04/08 13:16:35,Twitter for iPhone,3REV,2,499,254,[],,,NULL,0,Miami FL,False,79,13646,True,"RT @marksamuelian: ""Brightline has plans to bring its service to Jacksonville and Tampa and to add stops at PortMiami and Fort Lauderdale-H…"
2306,1115317131506257921,2019/04/08 13:15:00,SocialNewsDesk,BN9,0,372246,333,[],,,NULL,0,Tampa Bay area,True,1745,1154,True,"HEADS UP: If you are out and about today, you may want to fill up on gas before prices go up later this week.…"
2307,1115317018029219841,2019/04/08 13:14:33,dlvr.it,Tampa_NC,0,386,43,[],,,NULL,0,"Tampa, FL",False,25,0,False,"Tampa News Stocks Fall, Dow Slumps as Boeing Sinks on Downgrade -"
2308,1115316995648413698,2019/04/08 13:14:28,Twitter Web Client,stanzacal,24,1662,1005,"[{'text': 'WFinalFour', 'indices': [55, 66]}]",,,NULL,0,"San Francisco, CA",False,60,8090,True,RT @ncaawbb: Who shined brightest in Tampa? The 2019 #WFinalFour All-Tournament Team! MORE:
2309,1115315810317287425,2019/04/08 13:09:45,Facebook,LoisHenryStone,0,77,386,[],,,NULL,0,,False,0,109,False,Bufo toad kills another Florida dog as poisonous invader leaps north
2310,1115314113343836160,2019/04/08 13:03:00,Buffer,johnp_driscoll,0,292,680,[],,,NULL,0,"Connecticut, USA",False,9,556,False,A Culture Of Caring: @CareCentrix Named A 2019 Top Workplace By Tampa Bay Times
2311,1115313759340437505,2019/04/08 13:01:36,Facebook,MsFrancescaG,0,392,1056,[],,,NULL,0,"Tampa, Fl",False,6,156,False,Do I have any buyers who would like to live in a South Tampa home once owned by new york yankees owner ? Gorgeous h…
2312,1115313563902578688,2019/04/08 13:00:49,Restream.io,VENOMxREAP,0,1168,1709,[],,,NULL,0,"Port Richey, FL",False,1,502,True,"Florida IRL, Tampa Bay Gaming, news, charity, giveaways, and events. We do giveaways often so make sure to follow…"
2313,1115312790686900226,2019/04/08 12:57:45,Twitter Web Client,yellowjacket_18,0,158,269,[],,,NULL,0,,False,28,77,False,"Florida Gas Prices Drop, But Another Increase Likely"
2314,1115312724802768899,2019/04/08 12:57:29,Twitter for iPhone,ChrisTBonjour,17,245,190,"[{'text': 'EVOLVE126', 'indices': [98, 108]}]",,,NULL,0,"Largo, FL",False,12,2074,True,"RT @WWNEVOLVE: BREAKING NEWS.... JD Drake to defend the WWN Championship vs. Shane Strickland at #EVOLVE126 this Saturday in Ybor City, FL…"
2315,1115311757403156480,2019/04/08 12:53:39,sportstream365,NYSportsNews365,0,971,1904,[],,,NULL,0,United States,False,4,0,False,Why the Tampa Bay Rays Might Be the Team to Beat in the AL East - National Football League News -…
2316,1115311650587009024,2019/04/08 12:53:13,SocialFlow,WFLANews,0,16757,4148,[],,,NULL,2,"Tampa, FL",False,579,1616,True,WFLA News: Police in a Tampa suburb solve a 17 year murder case by arresting a heavily inked Florida man as he step…
2317,1115311268968189954,2019/04/08 12:51:42,Twitter for Android,WrestlingWNomad,17,1056,1618,"[{'text': 'EVOLVE126', 'indices': [98, 108]}]",,,NULL,0,"Brooklyn, NY",False,0,10927,True,"RT @WWNEVOLVE: BREAKING NEWS.... JD Drake to defend the WWN Championship vs. Shane Strickland at #EVOLVE126 this Saturday in Ybor City, FL…"
2318,1115311245408768004,2019/04/08 12:51:37,Twitter for iPhone,PuggieSue,3,237,94,[],,,NULL,0,Florida,False,1,8382,False,RT @BN9: Governor DeSantis is working to provide Floridians with affordable medication by importing cheaper prescription drugs from Canada.…
2319,1115311203557957633,2019/04/08 12:51:27,MLBNewsNow,MLB_News247,0,475,327,[],,,NULL,0,unit,False,7,0,False,Why the Tampa Bay Rays Might Be the Team to Beat in the AL East - Major League Baseball News -…
2320,1115308515592159234,2019/04/08 12:40:46,Twitter for iPhone,rgo2524,24,1168,1284,"[{'text': 'WFinalFour', 'indices': [55, 66]}]",,,NULL,0,Funkytown,False,75,400053,True,RT @ncaawbb: Who shined brightest in Tampa? The 2019 #WFinalFour All-Tournament Team! MORE:
2321,1115308071037702144,2019/04/08 12:39:00,TweetDeck,GoHART,1,5485,1744,[],,,NULL,1,"Hillsborough County, Florida",False,191,3191,True,"ICYMI: HART's very own Carolyn House Stewart was honored as a 2019 @NCAA ""Living Legend"" over the weekend. Ms. Stew…"
2322,1115307874236940288,2019/04/08 12:38:13,Twitter for iPhone,AdriaIrahetaTV,3,508,1311,[],,,NULL,0,"Tampa, FL",False,10,5914,True,RT @BN9: Governor DeSantis is working to provide Floridians with affordable medication by importing cheaper prescription drugs from Canada.…
2323,1115307516630568968,2019/04/08 12:36:48,Twitter for Android,FX_Butterfly,24,884,1564,"[{'text': 'WFinalFour', 'indices': [55, 66]}]",,,NULL,0,"Bear Country, TX 🐾🐻🐾",False,13,139211,True,RT @ncaawbb: Who shined brightest in Tampa? The 2019 #WFinalFour All-Tournament Team! MORE:
