,Date,source,Author,Twitter.Retweet,Twitter.Followers,Twitter.Following,Hashtags,in_reply_to_screen_name,in_reply_to_user_id,reply_count,favorite_count,user_location,user_verified,user_listed_count,user_favourites_count,user_geo_enabled,Snippet
,2019/04/08 15:17:29,Twitter for iPhone,FeistyFinnFan47,25,316,497,[],,,NULL,0,"Tampa, FL",False,8,21475,True,RT @TBLightning: We have reassigned Eddie Pasquale to the @syracusecrunch.
,2019/04/08 15:14:39,Twitter Web Client,redostoneage,1,11009,7962,"[{'text': 'cnn', 'indices': [130, 134]}]",,,NULL,0,Corrupt City of Chicago,False,517,37853,True,RT @redostoneage: Obama Sets New Record In Narcissism: Mentions Himself Almost 400 Times in 90-Min Speech #cnn #sit…
,2019/04/08 15:14:14,See The Air Bot,SeeTheAirBot,3,332,2,[],,,NULL,0,Earth,False,6,78,False,"RT @USFHealth: A study by @USFCOPH's Dr. Amy Stuart found that people of lower socioeconomic status and working-age adults, among other gro…"
,2019/04/08 15:14:03,dlvr.it,Tampa_NC,0,386,43,[],,,NULL,0,"Tampa, FL",False,25,0,False,"Tampa News Huawei is ‘open’ to selling its 5G modems, but only to Apple - Engadget"
,2019/04/08 15:13:48,Twitter for iPhone,ShellyS63206798,25,556,731,[],,,NULL,0,,False,3,46653,True,RT @TBLightning: We have reassigned Eddie Pasquale to the @syracusecrunch.
,2019/04/08 15:13:37,Twitter for Android,lazy108,17,519,323,"[{'text': 'EVOLVE126', 'indices': [98, 108]}]",,,NULL,0,Tampa,False,12,653,False,"RT @WWNEVOLVE: BREAKING NEWS.... JD Drake to defend the WWN Championship vs. Shane Strickland at #EVOLVE126 this Saturday in Ybor City, FL…"
,2019/04/08 15:13:32,Twibble.io,coworking__news,0,2487,381,[],,,NULL,0,,False,20,2,True,"With Fly Bar moving in, and other cool concepts in the works, Tampa's Grand Central takes shape as a neighborhood -…"
,2019/04/08 15:13:07,Twitter Web Client,Steelersdepot,1,65094,1617,[],,,NULL,12,Pittsburgh,False,1160,629,True,Remember the final season of WR Keyshawn Johnson in Tampa Bay with Jon Gruden???
,2019/04/08 15:12:47,Twitter for iPhone,cwraypova,1,232,959,[],,,NULL,0,,False,7,22242,True,"RT @DanielVConnolly: With Paige Bueckers committed in UConn’s class of 2020, the Huskies are setting their sites on a second point guard in…"
,2019/04/08 15:08:54,Twitter for iPhone,CrunchBlast4,10,80,698,"[{'text': 'SyrCrunch', 'indices': [86, 96]}]",,,NULL,0,United States,False,0,468,False,RT @SyracuseCrunch: The @TBLightning have reassigned goaltender Eddie Pasquale to the #SyrCrunch.
,2019/04/08 15:06:32,Twitter for iPhone,dustinstauffer2,25,1473,1505,[],,,NULL,0,Tampa,False,55,402527,True,RT @TBLightning: We have reassigned Eddie Pasquale to the @syracusecrunch.
,2019/04/08 15:06:21,Twitter for iPhone,sfc2424,10,610,705,"[{'text': 'SyrCrunch', 'indices': [86, 96]}]",,,NULL,0,"Syracuse, NY",False,6,15488,True,RT @SyracuseCrunch: The @TBLightning have reassigned goaltender Eddie Pasquale to the #SyrCrunch.
,2019/04/08 15:05:37,Twitter for iPhone,sara_withac,25,427,1280,[],,,NULL,0,"Valrico, FL via Cape Coral, FL",False,18,34834,True,RT @TBLightning: We have reassigned Eddie Pasquale to the @syracusecrunch.
,2019/04/08 15:05:17,Twitter for iPad,kjewett2,25,259,1181,[],,,NULL,0,Florida,False,29,30576,False,RT @TBLightning: We have reassigned Eddie Pasquale to the @syracusecrunch.
,2019/04/08 15:04:04,Twitter for iPhone,ScottHowery91,25,42,180,[],,,NULL,0,,False,0,508,False,RT @TBLightning: We have reassigned Eddie Pasquale to the @syracusecrunch.
,2019/04/08 15:03:10,TweetDeck,pwilliamsNHL,10,8844,2820,"[{'text': 'SyrCrunch', 'indices': [86, 96]}]",,,NULL,0,CANADA 🇨🇦 | USA 🇺🇸,True,318,62666,True,RT @SyracuseCrunch: The @TBLightning have reassigned goaltender Eddie Pasquale to the #SyrCrunch.
,2019/04/08 15:03:10,Twitter Web Client,315Hockey,10,264,57,"[{'text': 'SyrCrunch', 'indices': [86, 96]}]",,,NULL,0,"Utica, NY",False,1,5,False,RT @SyracuseCrunch: The @TBLightning have reassigned goaltender Eddie Pasquale to the #SyrCrunch.
,2019/04/08 15:02:18,TweetDeck,BN9,1,372245,333,[],,,NULL,0,Tampa Bay area,True,1745,1154,True,RT @angie_angers: I met Gail today at Sun City Center. She says the eye drops she needs for glaucoma cost her $5 per drop! That's roughly $…
,2019/04/08 15:01:57,Twitter for iPhone,RoseKenzie66,10,169,350,"[{'text': 'SyrCrunch', 'indices': [86, 96]}]",,,NULL,0," Syracuse, NY",False,0,4578,False,RT @SyracuseCrunch: The @TBLightning have reassigned goaltender Eddie Pasquale to the #SyrCrunch.
,2019/04/08 15:01:49,Twitter for iPhone,BarreBoulet,25,724,713,[],,,NULL,0,"Tampa, FL",False,0,25001,False,RT @TBLightning: We have reassigned Eddie Pasquale to the @syracusecrunch.
,2019/04/08 15:01:46,Twitter for iPhone,_marissaobrien,10,108,355,"[{'text': 'SyrCrunch', 'indices': [86, 96]}]",,,NULL,0,,False,0,4253,True,RT @SyracuseCrunch: The @TBLightning have reassigned goaltender Eddie Pasquale to the #SyrCrunch.
,2019/04/08 15:01:45,Twitter Web Client,amirliaqat786,25,231,239,[],,,NULL,0,,False,0,452,False,RT @TBLightning: We have reassigned Eddie Pasquale to the @syracusecrunch.
,2019/04/08 15:01:40,TweetDeck,SyracuseCrunch,10,28849,711,"[{'text': 'SyrCrunch', 'indices': [66, 76]}]",,,NULL,111,"Syracuse, NY",True,518,3405,True,The @TBLightning have reassigned goaltender Eddie Pasquale to the #SyrCrunch.
,2019/04/08 15:01:20,Twitter for iPhone,TBLightning,25,688939,2771,[],,,NULL,233,Amalie Arena,True,4597,4410,True,We have reassigned Eddie Pasquale to the @syracusecrunch.
,2019/04/08 15:00:43,Twitter Web Client,angie_angers,1,1120,393,[],,,NULL,6,"Bradenton, FL",False,26,1402,True,I met Gail today at Sun City Center. She says the eye drops she needs for glaucoma cost her $5 per drop! That's rou…
,2019/04/08 14:58:20,Twitter Web Client,delivercarerx,0,6,19,"[{'text': 'Tampa', 'indices': [56, 62]}, {'text': 'Hospice', 'indices': [98, 106]}, {'text': 'HospicePharmacy', 'indices': [107, 123]}]",,,NULL,1,"Mount Prospect, IL",False,0,1,False,We are so excited to announced the grand opening of our #Tampa pharmacy! #Hospice #HospicePharmacy
,2019/04/08 14:52:55,Twitter Web Client,usfcoph,3,1429,597,[],,,NULL,0,"Tampa, FL",False,38,3744,True,"RT @USFHealth: A study by @USFCOPH's Dr. Amy Stuart found that people of lower socioeconomic status and working-age adults, among other gro…"
,2019/04/08 14:49:15,Twitter for Android,bjnno1,1,935,1671,[],,,NULL,0,"Louisville, KY",False,2,148587,True,"RT @BN9: BREAKING Actress Felicity Huffman, 13 others agree to plead guilty in college admissions scandal:"
,2019/04/08 14:49:13,Twitter for Android,Zerrick_Gerard,0,6047,5957,"[{'text': 'GoBolts', 'indices': [24, 32]}]",,,NULL,0,"Saint Petersburg, Florida ",False,26,29080,True,#GoBolts ( Sent from WFLA News )
,2019/04/08 14:49:10,Twitter for iPhone,VicDiaz32,11,1181,1012,[],,,NULL,0,"Daytona Beach, FL",False,9,2754,False,RT @D2SSC: Sunshine State Conference Weekly Awards for April 1st - 7th! 🌴☀️🌊 Tampa's Makaleigh Dooley and Ross Dickerson continue to m…
,2019/04/08 14:40:38,TextCaster,BN9,1,372245,333,[],,,NULL,8,Tampa Bay area,True,1745,1154,True,"BREAKING Actress Felicity Huffman, 13 others agree to plead guilty in college admissions scandal:"
,2019/04/08 14:38:42,Twitter for iPhone,HCPSRobinsonHS,1,1254,151,[],,,NULL,0," Tampa, Florida ",False,12,1504,True,"RT @Jill_Burnzy: Today is for remembering Andy. Here’s one of many stories about him so you can, too. Crowd of more than 1,000 remembers Ta…"
,2019/04/08 14:38:15,Twitter for iPhone,USFResearch,3,6239,2618,[],,,NULL,0,"Tampa, Florida",False,170,22292,True,"RT @USFHealth: A study by @USFCOPH's Dr. Amy Stuart found that people of lower socioeconomic status and working-age adults, among other gro…"
,2019/04/08 14:37:11,Twitter Web Client,CMB_News,7,862,1130,[],,,NULL,0,"Tampa, Florida",False,39,2006,True,"RT @BN9: BREAKING 1 day after Homeland Security secretary's resignation, US Secret Service director leaving:"
,2019/04/08 14:34:07,Twitter for iPhone,HarrisonB927077,3,225,1224,[],,,NULL,0,"Virginia, USA",False,1,64595,True,RT @cotsonika: Lightning look to ride historic season to Stanley Cup championship via @NHLdotcom
,2019/04/08 14:31:32,HubSpot,TravelPulse,3,79981,8865,"[{'text': 'travel', 'indices': [95, 102]}]",,,NULL,10,"Westampton, NJ",False,2713,41834,True,Busch Gardens Tampa Bay Reveals Opening Date for Tigris Roller Coaster #travel…
,2019/04/08 14:31:04,Twitter Web Client,ACS_CARGO,0,578,981,[],,,NULL,1,CANADA - USA ,False,23,341,True,Shipping company slated to start Port Tampa Bay service cuts ties with Jacksonville port via @tbbjnewsroom
,2019/04/08 14:29:59,Twitter Web Client,EverydayGene,0,797,898,[],,,NULL,0,"Wesley Chapel, FL",False,183,82192,True,Chocochatti Focus of Hernando County Historical Project
,2019/04/08 14:27:44,Twitter Web Client,mogeladze1,0,3270,4203,"[{'text': 'GoBolts', 'indices': [20, 28]}]",,,NULL,0,boyton beach  kutaisi madrid,False,60,1513,True,Mayor unveils large #GoBolts banner at Tampa City Hall ahead to Stanley Cup Playoffs
,2019/04/08 14:26:33,dlvr.it,RockCheetah,0,1654,281,"[{'text': 'news', 'indices': [95, 100]}]",,,NULL,0,"Irving, TX",False,444,4,True,Busch Gardens Tampa Bay Reveals Opening Date for Tigris Roller Coaster #news
,2019/04/08 14:18:30,Twitter Web Client,USFHealth,3,8315,2318,[],,,NULL,6,"Tampa, FL",False,190,5449,True,"A study by @USFCOPH's Dr. Amy Stuart found that people of lower socioeconomic status and working-age adults, among…"
,2019/04/08 14:17:48,Twitter for iPhone,ChrisTBonjour,21,245,190,[],,,NULL,0,"Largo, FL",False,12,2074,True,"RT @WWNEVOLVE: Breaking News.... Austin Theory to defend the EVOLVE Title vs. NXT Superstar Raul Mendoza this Saturday in Ybor City, FL T…"
,2019/04/08 14:17:05,Twitter Web Client,Lynn_Knights,11,4436,829,[],,,NULL,0,"Boca Raton, Fla.",True,50,2650,True,RT @D2SSC: Sunshine State Conference Weekly Awards for April 1st - 7th! 🌴☀️🌊 Tampa's Makaleigh Dooley and Ross Dickerson continue to m…
,2019/04/08 14:15:00,SocialNewsDesk,BN9,0,372245,333,[],,,NULL,1,Tampa Bay area,True,1745,1154,True,"THE LATEST: One of the witnesses that testified early Monday afternoon was Dr. Bursten, who said Jonchuck told him…"
,2019/04/08 14:11:39,Facebook,Itskeeebaby,0,649,1162,[],,,NULL,0," Murfreesboro, Tn",False,1,1393,False,"It's Official, Busch Garden's New Coaster Will Be Opening This Month"
,2019/04/08 14:08:21,Twitter Web Client,TBBJVeronica,3,3591,3327,[],,,NULL,0,"Tampa, Florida",False,155,1241,True,"RT @TBBJLauren: Full story from this morning -- Tampa mayoral candidate talks startups, new initiative with business leaders"
,2019/04/08 14:07:33,TweetDeck,tbbjpam,3,3480,1859,[],,,NULL,0,"Tampa, Fla.",False,156,1423,False,"RT @TBBJLauren: Full story from this morning -- Tampa mayoral candidate talks startups, new initiative with business leaders"
,2019/04/08 14:04:48,IFTTT,WorldConsulting,0,4089,2163,"[{'text': 'WCG', 'indices': [77, 81]}, {'text': 'Florida', 'indices': [82, 90]}, {'text': 'ManagementConsulting', 'indices': [91, 112]}]",,,NULL,0,"Florida, USA",False,674,2618,False,"Tampa mayoral candidate talks startups, new initiative with business leaders #WCG #Florida #ManagementConsulting"
,2019/04/08 14:04:48,IFTTT,WorldConsulting,0,4089,2163,"[{'text': 'WCG', 'indices': [89, 93]}, {'text': 'Florida', 'indices': [94, 102]}]",,,NULL,0,"Florida, USA",False,674,2618,False,Shipping company slated to start Port Tampa Bay service cuts ties with Jacksonville port #WCG #Florida…
,2019/04/08 14:04:39,Twitter for iPhone,cotsonika,3,40632,1158,[],,,NULL,0,,True,1528,2654,True,RT @cotsonika: Lightning look to ride historic season to Stanley Cup championship via @NHLdotcom
,2019/04/08 14:04:20,Twitter for iPhone,cotsonika,1,40632,1158,[],,,NULL,0,,True,1528,2654,True,"RT @cotsonika: “They’ve created on aura about themselves. And it gets contagious in the room. On our end of things, you hold the players to…"
,2019/04/08 14:03:32,Facebook,TheNOWTeam,0,4292,2893,[],,,NULL,0,"Brandon, Florida",False,1432,1430,True,"Tampa mayoral candidate talks startups, new initiative with business leaders Jane Castor believes the Tampa Bay are…"
,2019/04/08 14:03:25,Facebook,TheNOWTeam,0,4292,2893,[],,,NULL,0,"Brandon, Florida",False,1432,1430,True,Shipping company slated to start Port Tampa Bay service cuts ties with Jacksonville port A French shipping company…
,2019/04/08 14:03:05,TweetDeck,TBBJLauren,3,3134,1562,[],,,NULL,5,"Tampa, Fla.",False,140,5135,True,"Full story from this morning -- Tampa mayoral candidate talks startups, new initiative with business leaders"
,2019/04/08 14:02:24,Twitter Web Client,AlexisTBBJ,0,4858,3268,[],,,NULL,2,"Tampa Bay, Florida",False,217,5693,True,"Tampa mayoral candidate talks startups, new initiative with business leaders via @tbbjLauren"
,2019/04/08 13:59:30,Twitter for iPhone,JadenKline,11,782,607,[],,,NULL,0,"Florida, USA",False,0,13058,True,RT @D2SSC: Sunshine State Conference Weekly Awards for April 1st - 7th! 🌴☀️🌊 Tampa's Makaleigh Dooley and Ross Dickerson continue to m…
,2019/04/08 13:57:14,Twitter for iPhone,ClaytorReports,7,1094,1211,[],,,NULL,0,"Lakeland, FL",False,53,289,True,"RT @BN9: BREAKING 1 day after Homeland Security secretary's resignation, US Secret Service director leaving:"
,2019/04/08 13:57:06,TextCaster,BN9,7,372245,333,[],,,NULL,5,Tampa Bay area,True,1745,1154,True,"BREAKING 1 day after Homeland Security secretary's resignation, US Secret Service director leaving:"
,2019/04/08 13:56:08,Buffer,abcactionnews,0,158449,651,[],,,NULL,1,Tampa,True,1559,4811,True,.@USCG rescues 3 Tampa Bay area men after boat sinks near Naples; @JJBurtonTV reports.
